ID,MARCA,MODELO,VERSION,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Comb.,Segmento,Puertas,Traccion
,FIAT,IDEA,1.6 ESSENCE EMOTION," $ 137,000 "," $ 127,000 "," $ 117,000 ",,,,,,,,,,,,,,,,,
,FIAT,IDEA,1.6 ESSENCE TOP," $ 138,000 "," $ 128,000 "," $ 118,000 ",,,,,,,,,,,,,,,,,
,FIAT,IDEA,1.6 ESSENCE TOP EMOTION," $ 140,000 "," $ 130,000 "," $ 120,000 ",,,,,,,,,,,,,,,,,
,FIAT,IDEA,1.6 SPORTING,," $ 130,000 "," $ 120,000 "," $ 110,000 ",,,,,,,,,,,,,,,,
,FIAT,IDEA,1.8 HLX,,,,,,," $ 73,000 "," $ 69,000 "," $ 66,000 ",,,,,,,,,,,
,FIAT,IDEA,1.8 HLX ACTIVE,,,,,,," $ 75,000 "," $ 71,000 ",,,,,,,,,,,,
,FIAT,IDEA,1.8 HLX ACTIVE TC,,,,,,," $ 77,000 "," $ 73,000 ",,,,,,,,,,,,
,FIAT,IDEA,1.8 HLX  EMOTION,,,,," $ 83,000 "," $ 80,000 "," $ 77,000 "," $ 75,000 ",,,,,,,,,,,,
,FIAT,IDEA,1.8 HLX  EMOTION TC,,,,," $ 85,000 "," $ 82,000 "," $ 79,000 "," $ 77,000 ",,,,,,,,,,,,
,FIAT,IDEA,1.8 HLX HIGH TECH,,,,,," $ 82,000 "," $ 79,000 "," $ 77,000 ",,,,,,,,,,,,
,FIAT,IDEA,1.8 HLX HIGH TECH TC,,,,,,," $ 81,000 "," $ 79,000 ",,,,,,,,,,,,
,FIAT,IDEA,ADVENTURE 1.6," $ 150,000 "," $ 138,000 "," $ 126,000 "," $ 114,000 ",,,,,,,,,,,,,,,,
,FIAT,IDEA,ADVENTURE 1.6 LOCKER," $ 152,000 "," $ 140,000 "," $ 128,000 "," $ 116,000 ",,,,,,,,,,,,,,,,
,FIAT,IDEA,ADVENTURE 1.6 TOP," $ 152,000 "," $ 140,000 "," $ 128,000 ",,,,,,,,,,,,,,,,,
,FIAT,IDEA,ADVENTURE 1.8,,,," $ 104,000 "," $ 96,000 "," $ 90,000 "," $ 84,000 "," $ 79,000 ",,,,,,,,,,,,
,FIAT,IDEA,ADVENTURE 1.8 CONFORT,,,," $ 106,000 "," $ 98,000 ",,,,,,,,,,,,,,,
,FIAT,IDEA,ADVENTURE 1.8 LOCKER,,,," $ 106,000 "," $ 98,000 "," $ 92,000 "," $ 86,000 ",,,,,,,,,,,,,
,FIAT,IDEA,ADVENTURE 1.8 PK SEGURIDAD,,,," $ 108,000 "," $ 100,000 ",,,,,,,,,,,,,,,
,FIAT,IDEA,ADVENTURE 1.8 XTREME,,,,," $ 98,000 "," $ 92,000 "," $ 86,000 "," $ 81,000 ",,,,,,,,,,,,
,FIAT,LINEA,ABSOLUTE," $ 155,000 "," $ 143,000 "," $ 131,000 "," $ 114,000 "," $ 109,000 ",,,,,,,,,,,,,,,
,FIAT,LINEA,ABSOLUTE DUALOGIC," $ 160,000 "," $ 148,000 "," $ 138,000 "," $ 124,000 "," $ 113,000 ",,,,,,,,,,,,,,,
,FIAT,LINEA,ESSENCE," $ 145,000 "," $ 133,000 "," $ 121,000 "," $ 109,000 "," $ 99,000 ",,,,,,,,,,,,,,,
,FIAT,LINEA,ESSENCE DUALOGIC," $ 150,000 "," $ 138,000 "," $ 126,000 "," $ 114,000 "," $ 103,000 ",,,,,,,,,,,,,,,
,FIAT,MAREA,1.6 SX ABS AB,,,,,,,,,,,,," $ 40,500 "," $ 39,000 "," $ 37,500 ",,,,,
,FIAT,MAREA,1.6 SX (LN),,,,,,," $ 54,000 "," $ 51,000 "," $ 49,000 "," $ 47,000 "," $ 45,000 ",," $ 40,000 "," $ 38,500 "," $ 37,000 "," $ 35,500 ",,,,
,FIAT,MAREA,1.6 SX (LN) GNC,,,,,,,,," $ 50,000 "," $ 48,000 ",,,,,,,,,,
,FIAT,MAREA,1.6 SX (LN) P/LUJO,,,,,,," $ 56,000 "," $ 53,000 "," $ 51,000 "," $ 49,000 ",,,,,,,,,,
,FIAT,MAREA,1.6 SX (LN) P/LUJO GNC,,,,,,,,," $ 53,000 "," $ 51,000 ",,,,,,,,,,
,FIAT,MAREA,1.9 JTD ELX,,,,,,," $ 62,000 "," $ 59,000 "," $ 56,000 "," $ 53,000 "," $ 49,000 "," $ 47,000 "," $ 45,000 "," $ 43,000 ",,,,,,
,FIAT,MAREA,1.9 TDI ELX,,,,,,,,,,,,,," $ 41,500 "," $ 40,000 "," $ 38,500 ",,,,
,FIAT,MAREA,1.9 TDI ELX FULL,,,,,,,,,,,,,," $ 43,000 "," $ 41,500 "," $ 40,000 ",,,,
,FIAT,MAREA,2.0 ELX,,,,,,,,,," $ 47,000 "," $ 45,500 "," $ 44,000 "," $ 42,500 "," $ 41,000 ",,,,,,
,FIAT,MAREA,2.0 HLX,,,,,,,,,,,,," $ 42,000 "," $ 41,000 "," $ 40,000 "," $ 39,000 ",,,,
,FIAT,MAREA,2.0 HLX TC CU,,,,,,,,,,,,," $ 43,000 "," $ 42,000 "," $ 41,000 "," $ 40,000 ",,,,
,FIAT,MAREA,WE 1.9 JTD ELX,,,,,,," $ 65,000 "," $ 62,000 "," $ 59,000 "," $ 55,000 "," $ 52,000 "," $ 49,000 "," $ 47,000 "," $ 45,000 ",,,,,,
,FIAT,MAREA,WE 1.9 TDI ELX,,,,,,,,,,,,,," $ 42,500 "," $ 41,000 "," $ 39,500 ",,,,
,FIAT,MAREA,WE 1.9 TDI ELX FULL,,,,,,,,,,,,,," $ 44,000 "," $ 42,500 "," $ 41,000 ",,,,
,FIAT,MAREA,WE 2.0 ELX,,,,,,,,,," $ 49,000 "," $ 47,500 "," $ 46,000 "," $ 44,500 "," $ 43,000 ",,,,,,
,FIAT,MAREA,WE 2.0 SX,,,,,,,,,,,,,," $ 40,000 "," $ 38,500 "," $ 37,000 ",,,,
,FIAT,MAREA,WE 2.0 SX ABS LL,,,,,,,,,,,,,," $ 41,500 "," $ 40,000 "," $ 38,500 ",,,,
,FIAT,MAREA,WE 2.0 SX FULL,,,,,,,,,,,,,," $ 42,000 "," $ 40,500 "," $ 39,000 ",,,,
,FIAT,MULTIPLA,1.9 JTD,,,,,,,,,,," $ 45,000 "," $ 43,000 ",,,,,,,,
,FIAT,PALIO,1.3 3 P FIRE,,,,,,," $ 54,000 "," $ 51,000 "," $ 49,000 "," $ 47,000 ",,,,,,,,,,
,FIAT,PALIO,1.3 3 P FIRE ELX,,,,,,," $ 56,000 "," $ 53,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.3 3 P FIRE ELX TOP,,,,,,,," $ 55,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.3 3 P FIRE EX 16V,,,,,,,,,," $ 45,000 "," $ 43,000 "," $ 41,500 "," $ 40,000 ",,,,,,,
,FIAT,PALIO,1.3 3 P FIRE EX 16V AA,,,,,,,,,," $ 47,000 "," $ 45,000 "," $ 43,500 "," $ 42,000 ",,,,,,,
,FIAT,PALIO,1.3 3 P FIRE EX 16V AA LUJO,,,,,,,,,," $ 48,000 "," $ 46,000 "," $ 44,500 "," $ 43,000 ",,,,,,,
,FIAT,PALIO,1.3 3 P FIRE FULL,,,,,,,," $ 53,000 "," $ 51,000 "," $ 49,000 ",,,,,,,,,,
,FIAT,PALIO,1.3 3 P FIRE FULL GNC,,,,,,,," $ 55,000 "," $ 53,000 "," $ 51,000 ",,,,,,,,,,
,FIAT,PALIO,1.3 3 P FIRE TOP,,,,,,,," $ 54,500 "," $ 52,500 "," $ 50,500 ",,,,,,,,,,
,FIAT,PALIO,1.3 3 P FIRE TOP II,,,,,,,," $ 55,500 ",,,,,,,,,,,,
,FIAT,PALIO,1.3 3 P FIRE WAY,,,,,,,," $ 54,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.3 3 P FIRE WAY II,,,,,,," $ 57,000 "," $ 55,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.3 3 P S,,,,,,,,,,,,," $ 39,000 "," $ 37,500 "," $ 36,000 "," $ 35,000 ",,,,
,FIAT,PALIO,1.3 3 P S AA,,,,,,,,,,,,," $ 40,500 "," $ 39,000 "," $ 37,500 "," $ 36,500 ",,,,
,FIAT,PALIO,1.3 3 P SX,,,,,,,,,," $ 45,500 "," $ 43,500 "," $ 42,000 ",,,,,,,,
,FIAT,PALIO,1.3 3 P SX TOP,,,,,,,,,," $ 47,000 "," $ 45,000 ",,,,,,,,,
,FIAT,PALIO,1.3 3 P SX YOUNG,,,,,,,,,,," $ 43,500 "," $ 42,000 "," $ 40,500 ",,,,,,,
,FIAT,PALIO,1.3 5 P FIRE,,,,,,," $ 55,000 "," $ 52,000 "," $ 50,000 "," $ 48,000 ",,,,,,,,,,
,FIAT,PALIO,1.3 5 P FIRE ELX,,,,,,,," $ 54,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.3 5 P FIRE ELX TOP,,,,,,,," $ 56,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.3 5 P FIRE EX 16V,,,,,,,,,," $ 46,000 "," $ 44,000 "," $ 42,500 "," $ 41,000 ",,,,,,,
,FIAT,PALIO,1.3 5 P FIRE EX 16V AA,,,,,,,,,," $ 48,000 "," $ 46,000 "," $ 44,500 "," $ 43,000 ",,,,,,,
,FIAT,PALIO,1.3 5 P FIRE EX 16V AA LUJO,,,,,,,,,," $ 49,000 "," $ 47,000 "," $ 45,500 "," $ 44,000 ",,,,,,,
,FIAT,PALIO,1.3 5 P FIRE FULL,,,,,,,," $ 54,000 "," $ 52,000 "," $ 50,000 ",,,,,,,,,,
,FIAT,PALIO,1.3 5 P FIRE FULL GNC,,,,,,,," $ 56,000 "," $ 54,000 "," $ 52,000 ",,,,,,,,,,
,FIAT,PALIO,1.3 5 P FIRE TOP,,,,,,,," $ 55,500 "," $ 53,500 "," $ 51,500 ",,,,,,,,,,
,FIAT,PALIO,1.3 5 P FIRE TOP II,,,,,,,," $ 56,500 ",,,,,,,,,,,,
,FIAT,PALIO,1.3 5 P FIRE WAY,,,,,,,," $ 55,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.3 5 P FIRE WAY II,,,,,,," $ 58,000 "," $ 56,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.3 5 P S,,,,,,,,,,,,," $ 40,000 "," $ 38,500 "," $ 37,000 ",,,,,
,FIAT,PALIO,1.3 5 P S AA,,,,,,,,,,,,," $ 41,500 "," $ 40,000 "," $ 38,500 ",,,,,
,FIAT,PALIO,1.3 5 P SX,,,,,,,,,," $ 46,500 "," $ 44,500 ",,,,,,,,,
,FIAT,PALIO,1.3 5 P SX TOP,,,,,,,,,," $ 48,000 "," $ 46,000 ",,,,,,,,,
,FIAT,PALIO,1.3 5 P SX YOUNG,,,,,,,,,,," $ 44,500 "," $ 43,000 "," $ 41,500 ",,,,,,,
,FIAT,PALIO,1.4 3 P ATTRACTIVE,," $ 86,000 "," $ 82,000 "," $ 78,000 ",,,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P ELX,,,," $ 70,000 "," $ 67,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P ELX ACTIVE,,,,," $ 69,000 "," $ 66,000 "," $ 64,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P ELX EMOTION,,,,," $ 70,000 "," $ 67,000 "," $ 65,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P ELX EMOTION II,,,,," $ 71,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P FIRE,,,,,," $ 61,000 "," $ 58,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P FIRE ELX,,,,,,," $ 61,000 "," $ 59,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P FIRE ELX TOP II,,,,,,," $ 63,000 "," $ 61,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P FIRE L/09," $ 77,000 "," $ 74,000 "," $ 71,000 "," $ 68,000 "," $ 65,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P FIRE L/09 CONFORT," $ 81,000 "," $ 78,000 "," $ 75,000 "," $ 72,000 "," $ 69,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P FIRE L/09 TOP," $ 83,000 "," $ 80,000 "," $ 77,000 "," $ 74,000 "," $ 71,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 3 P FIRE WAY,,,,,," $ 64,000 "," $ 61,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ATRACT,," $ 90,000 "," $ 86,000 "," $ 82,000 ",,,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ATRACT ACTIVE,," $ 92,000 "," $ 88,000 "," $ 84,000 ",,,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ATRACT EMOTION,,," $ 90,000 "," $ 86,000 ",,,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ATRACT L/12," $ 109,000 "," $ 101,000 ",,,,,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ATRACT L/12 TOP," $ 113,000 "," $ 105,000 ",,,,,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ATRACT L/13 EMOT II," $ 114,000 ",,,,,,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ATRACT L/13  TECH," $ 116,000 ",,,,,,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ELX,,,," $ 72,000 "," $ 69,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ELX ACTIVE,,,," $ 76,000 "," $ 72,000 "," $ 68,000 "," $ 65,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ELX EMOTION,,,,," $ 73,000 "," $ 69,000 "," $ 66,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ELX EMOTION II,,,," $ 75,000 "," $ 73,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P ELX GROOVE,,," $ 81,000 "," $ 78,000 ",,,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P FIRE,,,,,," $ 63,000 "," $ 60,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P FIRE ELX,,,,,,," $ 63,000 "," $ 61,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P FIRE ELX TOP II,,,,,,," $ 65,000 "," $ 63,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P FIRE L/09," $ 86,000 "," $ 81,000 "," $ 77,000 "," $ 73,000 "," $ 69,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P FIRE L/09 CONFORT," $ 90,000 "," $ 85,000 "," $ 81,000 "," $ 77,000 "," $ 73,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P FIRE L/09 TOP," $ 92,000 "," $ 87,000 "," $ 83,000 "," $ 79,000 "," $ 75,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P FIRE L/09 WAY,,,,," $ 74,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,1.4 5 P FIRE WAY,,,,,," $ 66,000 "," $ 63,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.6 3 P EL,,,,,,,,,,,,," $ 40,500 "," $ 39,000 "," $ 37,500 "," $ 36,000 ",,,,
,FIAT,PALIO,1.6 3 P EL AA,,,,,,,,,,,,," $ 42,500 "," $ 41,000 "," $ 39,500 "," $ 38,000 ",,,,
,FIAT,PALIO,1.6 3 P EL AA DH LVE,,,,,,,,,,,,," $ 44,000 "," $ 42,500 "," $ 41,000 "," $ 39,000 ",,,,
,FIAT,PALIO,1.6 3 P ELX 16V,,,,,,,,,,," $ 46,000 "," $ 44,500 "," $ 43,000 ",,,,,,,
,FIAT,PALIO,1.6 3 P ELX 16V AA,,,,,,,,,," $ 50,000 "," $ 48,000 "," $ 46,500 "," $ 45,000 ",,,,,,,
,FIAT,PALIO,1.6 3 P ELX 16V AA LUJO,,,,,,,,,,," $ 49,000 "," $ 47,500 "," $ 46,000 ",,,,,,,
,FIAT,PALIO,1.6 3 P HL 16V STILE,,,,,,,,,,,,,,," $ 42,000 "," $ 40,500 ",,,,
,FIAT,PALIO,1.6 3 P HL 16V STILE ABS,,,,,,,,,,,,,,," $ 43,000 "," $ 41,500 ",,,,
,FIAT,PALIO,1.6 3 P S,,,,,,,,,,,,," $ 40,000 "," $ 38,500 "," $ 37,000 "," $ 36,000 ",,,,
,FIAT,PALIO,1.6 3 P S AA,,,,,,,,,,,,," $ 42,000 "," $ 40,500 "," $ 39,000 "," $ 38,000 ",,,,
,FIAT,PALIO,1.6 3 P SX,,,,,,,,,,,,," $ 41,000 "," $ 39,500 ",,,,,,
,FIAT,PALIO,1.6 3 P SX AA,,,,,,,,,,,,," $ 43,000 "," $ 41,500 ",,,,,,
,FIAT,PALIO,1.6 5 P EL,,,,,,,,,,,,," $ 41,500 "," $ 40,000 "," $ 38,500 "," $ 37,000 ",,,,
,FIAT,PALIO,1.6 5 P EL AA,,,,,,,,,,,,," $ 43,500 "," $ 42,000 "," $ 40,500 "," $ 39,000 ",,,,
,FIAT,PALIO,1.6 5 P EL AA DH LVE,,,,,,,,,,,,," $ 45,000 "," $ 43,500 "," $ 42,000 "," $ 40,500 ",,,,
,FIAT,PALIO,1.6 5 P ELX 16V,,,,,,,,,,," $ 47,000 "," $ 45,500 "," $ 44,000 ",,,,,,,
,FIAT,PALIO,1.6 5 P ELX 16V AA,,,,,,,,,," $ 51,000 "," $ 49,000 "," $ 47,500 "," $ 46,000 ",,,,,,,
,FIAT,PALIO,1.6 5 P ELX 16V AA LUJO,,,,,,,,,," $ 52,000 "," $ 50,000 "," $ 48,500 "," $ 47,000 ",,,,,,,
,FIAT,PALIO,1.6 5 P ESSENCE,," $ 100,000 "," $ 94,000 "," $ 88,000 ",,,,,,,,,,,,,,,,
,FIAT,PALIO,1.6 5 P ESSENCE L/12," $ 114,000 "," $ 106,000 ",,,,,,,,,,,,,,,,,,
,FIAT,PALIO,1.6 5 P ESSENCE L/12 DUALOG," $ 118,000 "," $ 110,000 ",,,,,,,,,,,,,,,,,,
,FIAT,PALIO,1.6 5 P ESSENCE L/13," $ 118,000 ",,,,,,,,,,,,,,,,,,,
,FIAT,PALIO,1.6 5 P HL 16V STILE,,,,,,,,,,,,," $ 46,000 "," $ 44,500 "," $ 43,000 "," $ 41,500 ",,,,
,FIAT,PALIO,1.6 5 P HL 16V STILE ABS,,,,,,,,,,,,," $ 47,000 "," $ 45,500 "," $ 44,000 "," $ 42,500 ",,,,
,FIAT,PALIO,1.6 5 P S,,,,,,,,,,,,," $ 41,000 "," $ 39,500 "," $ 38,000 "," $ 36,500 ",,,,
,FIAT,PALIO,1.6 5 P S AA,,,,,,,,,,,,," $ 43,000 "," $ 41,500 "," $ 40,000 "," $ 38,500 ",,,,
,FIAT,PALIO,1.6 5 P SPORTING L/12," $ 122,000 "," $ 114,000 ",,,,,,,,,,,,,,,,,,
,FIAT,PALIO,1.6 5 P SX,,,,,,,,,,,,," $ 42,000 "," $ 40,500 ",,,,,,
,FIAT,PALIO,1.6 5 P SX AA,,,,,,,,,,,,," $ 44,000 "," $ 42,500 ",,,,,,
,FIAT,PALIO,1.7 3 P EL TD,,,,,,,,,,,,," $ 41,500 "," $ 40,000 "," $ 38,500 "," $ 37,000 ",,,,
,FIAT,PALIO,1.7 3 P EL TD AA,,,,,,,,,,,,," $ 43,500 "," $ 42,000 "," $ 40,500 "," $ 39,000 ",,,,
,FIAT,PALIO,1.7 3 P EL TD AA LVE,,,,,,,,,,,,," $ 45,000 "," $ 43,500 "," $ 42,000 "," $ 40,500 ",,,,
,FIAT,PALIO,1.7 3 P ELX TD,,,,,,,,,,," $ 48,000 "," $ 46,000 "," $ 44,500 ",,,,,,,
,FIAT,PALIO,1.7 3 P ELX TD AA,,,,,,,,,,," $ 50,000 "," $ 48,000 "," $ 46,500 ",,,,,,,
,FIAT,PALIO,1.7 3 P ELX TD AA LUJO,,,,,,,,,,," $ 51,000 "," $ 49,000 "," $ 47,500 ",,,,,,,
,FIAT,PALIO,1.7 3 P ELX TD LN,,,,,," $ 66,000 "," $ 64,000 "," $ 62,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.7 3 P ELX TD LN ACTIVE,,,,,," $ 67,000 "," $ 65,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.7 3 P ELX TD LN EMOTION. III,,,,,," $ 69,000 "," $ 67,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.7 3 P EX TD,,,,,,,,,,," $ 46,000 "," $ 44,000 "," $ 42,500 ",,,,,,,
,FIAT,PALIO,1.7 3 P S D,,,,,,,,,,,,," $ 41,000 "," $ 39,500 "," $ 38,000 "," $ 36,500 ",,,,
,FIAT,PALIO,1.7 3 P S D AA DH,,,,,,,,,,,,," $ 43,000 "," $ 41,500 "," $ 40,000 "," $ 38,500 ",,,,
,FIAT,PALIO,1.7 3 P SX TD,,,,,,,,,,," $ 46,000 "," $ 44,000 ",,,,,,,,
,FIAT,PALIO,1.7 3 P SX TD YOUNG,,,,,,,,,,," $ 46,000 "," $ 44,000 "," $ 42,500 ",,,,,,,
,FIAT,PALIO,1.7 5 P EL TD,,,,,,,,,,,,," $ 42,500 "," $ 41,000 "," $ 39,500 "," $ 38,000 ",,,,
,FIAT,PALIO,1.7 5 P EL TD AA,,,,,,,,,,,,," $ 44,500 "," $ 43,000 "," $ 41,500 "," $ 40,000 ",,,,
,FIAT,PALIO,1.7 5 P EL TD AA LVE,,,,,,,,,,,,," $ 46,000 "," $ 44,500 "," $ 43,000 "," $ 41,500 ",,,,
,FIAT,PALIO,1.7 5 P ELX TD,,,,,,,,,," $ 51,000 "," $ 49,000 "," $ 47,000 "," $ 45,500 ",,,,,,,
,FIAT,PALIO,1.7 5 P ELX TD AA,,,,,,,,,,," $ 51,000 "," $ 49,000 "," $ 47,500 ",,,,,,,
,FIAT,PALIO,1.7 5 P ELX TD AA LUJO,,,,,,,,,,," $ 52,000 "," $ 50,000 "," $ 48,500 ",,,,,,,
,FIAT,PALIO,1.7 5 P ELX TD LN,,,,," $ 69,000 "," $ 67,000 "," $ 65,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.7 5 P ELX TD LN AA,,,,,,," $ 64,000 "," $ 62,000 "," $ 60,000 "," $ 58,000 ",,,,,,,,,,
,FIAT,PALIO,1.7 5 P ELX TD LN ACTIVE,,,,,,," $ 65,000 "," $ 63,000 "," $ 61,000 ",,,,,,,,,,,
,FIAT,PALIO,1.7 5 P ELX TD LN EMOTIO. II,,,,,,," $ 67,000 "," $ 65,000 "," $ 63,000 "," $ 61,000 ",,,,,,,,,,
,FIAT,PALIO,1.7 5 P ELX TD LN PK ELEC.,,,,,,,," $ 63,000 "," $ 61,000 "," $ 59,000 ",,,,,,,,,,
,FIAT,PALIO,1.7 5 P ELX TD LN WAY,,,,," $ 70,000 "," $ 68,000 "," $ 66,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.7 5 P EX TD,,,,,,,,,,," $ 47,000 "," $ 45,000 "," $ 43,500 ",,,,,,,
,FIAT,PALIO,1.7 5 P HL TD,,,,,,,,,,,,,,," $ 44,000 "," $ 42,500 ",,,,
,FIAT,PALIO,1.7 5 P HL TD ABS AB,,,,,,,,,,,,,,," $ 45,000 "," $ 43,500 ",,,,
,FIAT,PALIO,1.7 P S D,,,,,,,,,,,,,,," $ 39,000 "," $ 37,500 ",,,,
,FIAT,PALIO,1.7 P S D AA DH,,,,,,,,,,,,,,," $ 41,000 "," $ 39,500 ",,,,
,FIAT,PALIO,1.8 3 P HLX,,,,,,,," $ 60,000 "," $ 58,000 "," $ 56,500 ",,,,,,,,,,
,FIAT,PALIO,1.8 3 P HLX ACTIVE,,,,,,," $ 63,000 "," $ 61,000 "," $ 59,000 ",,,,,,,,,,,
,FIAT,PALIO,1.8 3 P HLX EMOTION II,,,,,,," $ 65,000 "," $ 63,000 "," $ 61,000 "," $ 59,000 ",,,,,,,,,,
,FIAT,PALIO,1.8 3 P HLX PACK ELECTRIC,,,,,,,," $ 62,000 "," $ 60,000 "," $ 58,000 ",,,,,,,,,,
,FIAT,PALIO,1.8 3 P HLX SOUND,,,,,,,," $ 64,000 "," $ 62,000 ",,,,,,,,,,,
,FIAT,PALIO,1.8 3 P R,,,,,,," $ 68,000 "," $ 66,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.8 3 P R AB,,,,,,," $ 69,000 "," $ 67,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.8 3 P R ABS,,,,,,," $ 69,000 "," $ 67,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.8 3 P R FULL,,,,,,," $ 70,000 "," $ 68,000 ",,,,,,,,,,,,
,FIAT,PALIO,1.8 3 P R L/N,,,,," $ 76,000 "," $ 74,000 "," $ 72,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.8 5 P HLX,,,,,,,," $ 61,000 "," $ 59,000 "," $ 57,500 ",,,,,,,,,,
,FIAT,PALIO,1.8 5 P HLX ACTIVE,,,,,,," $ 64,000 "," $ 62,000 "," $ 60,000 ",,,,,,,,,,,
,FIAT,PALIO,1.8 5 P HLX EMOTION III,,,,,,," $ 66,000 "," $ 64,000 "," $ 62,000 "," $ 60,000 ",,,,,,,,,,
,FIAT,PALIO,1.8 5 P HLX PACK ELECTRIC,,,,,,,," $ 63,000 "," $ 61,000 "," $ 59,000 ",,,,,,,,,,
,FIAT,PALIO,1.8 5 P R L/N SOUND,,,,,,,," $ 65,000 "," $ 63,000 ",,,,,,,,,,,
,FIAT,PALIO,1.8 5 P R L/N,,,," $ 79,000 "," $ 77,000 "," $ 75,000 "," $ 73,000 ",,,,,,,,,,,,,
,FIAT,PALIO,1.8 5 P R L/N EMOTION,,,,," $ 78,000 "," $ 76,000 "," $ 74,000 ",,,,,,,,,,,,,
,FIAT,PALIO,WE 1.4 ACTIVE L/09,,,,," $ 86,000 "," $ 83,000 ",,,,,,,,,,,,,,
,FIAT,PALIO,WE 1.4 ACTIVE II L/09,,,," $ 90,000 "," $ 87,000 ",,,,,,,,,,,,,,,
,FIAT,PALIO,WE 1.4 ATTRACTIVE," $ 116,000 "," $ 108,000 "," $ 100,000 "," $ 92,000 ",,,,,,,,,,,,,,,,
,FIAT,PALIO,WE 1.4 ATTRACTIVE ACTIVE," $ 118,000 "," $ 110,000 "," $ 102,000 "," $ 94,000 ",,,,,,,,,,,,,,,,
,FIAT,PALIO,WE 1.4 ELX L/09,,,," $ 84,000 "," $ 79,000 "," $ 75,000 ",,,,,,,,,,,,,,
,FIAT,PALIO,WE 1.4 ELX FIRE,,,,,," $ 72,000 "," $ 69,000 "," $ 67,000 ",,,,,,,,,,,,
,FIAT,PALIO,WE 1.4 ELX FIRE CLASS,,,,,," $ 73,000 "," $ 70,000 ",,,,,,,,,,,,,
,FIAT,PALIO,WE 1.4 ELX FIRE TOP II,,,,,,," $ 72,000 "," $ 69,000 ",,,,,,,,,,,,
,FIAT,PALIO,WE 1.4 TREKKING L/09," $ 126,000 "," $ 116,000 "," $ 108,000 "," $ 100,000 "," $ 92,000 "," $ 84,000 ",,,,,,,,,,,,,,
,FIAT,PALIO,WE 1.6,,,,,,,,,,,,," $ 43,500 "," $ 42,000 "," $ 40,500 "," $ 39,000 ",,,,
,FIAT,PALIO,WE 1.6  AA LVE,,,,,,,,,,,,," $ 47,000 "," $ 45,500 "," $ 44,000 "," $ 42,500 ",,,,
